Sample,Activation,Timepoint,Polarization,Phenograph_1,Phenograph_2,Phenograph_3,Phenograph_4,Phenograph_5,Phenograph_6,Phenograph_7,Phenograph_8,Phenograph_9,Phenograph_10,Phenograph_11,Phenograph_12,Phenograph_13,Phenograph_14,Phenograph_15,Phenograph_16,Phenograph_17
export_concat_1_2020_07_17_pSTAT_2_None_24h_1.fcs,Yes,24,None,1.35,0.55,1.62,9.96,34.7,28.3,0,0.22,11.4,9.97,0.015,1.54,0.089,0.1,0.03,0.074,0.015
export_concat_1_2020_07_17_pSTAT_2_None_24h_2.fcs,Yes,24,None,0.76,1.35,1.74,17.4,26,29.3,0,0.059,8.65,11.5,0,3.06,0,0.015,0.059,0.089,0.089
export_concat_1_2020_07_17_pSTAT_2_None_24h_3.fcs,Yes,24,None,2.85,0.61,2.33,3.28,42.3,19,0.045,0.24,18.7,9.32,0,0.8,0.13,0.13,0.03,0.074,0.1
export_concat_1_2020_07_17_pSTAT_2_None_30m_NoAct_1.fcs,No,0.5,None,31.2,20.8,20.6,2.63,0.16,0.53,0.015,0,0,1.66,21.3,1.1,0.015,0,0.015,0.045,0
export_concat_1_2020_07_17_pSTAT_2_None_30m_NoAct_2.fcs,No,0.5,None,22.3,22.7,25.5,1.72,0.059,0.27,0.015,0,0,1.53,24.2,1.53,0.03,0,0.089,0.015,0.015
export_concat_1_2020_07_17_pSTAT_2_None_30m_NoAct_3.fcs,No,0.5,None,20.2,18.3,37.8,0.95,0.059,0.16,0.089,0,0.015,1.93,18.9,1.45,0.015,0,0.059,0.045,0.015
export_concat_1_2020_07_17_pSTAT_2_None_30m_1.fcs,Yes,0.5,None,25.5,22.5,30.3,3.46,0.32,1.21,0.044,0,0,2.47,10.9,3.05,0.044,0,0.073,0.058,0.015
export_concat_1_2020_07_17_pSTAT_2_None_30m_2.fcs,Yes,0.5,None,26.6,23.9,26.9,3.43,0.27,1.05,0.03,0,0.015,2.72,12.2,2.83,0.015,0,0.03,0.059,0.015
export_concat_1_2020_07_17_pSTAT_2_None_96h_1.fcs,Yes,96,None,1.5,0.39,0.12,13.9,27.2,30.5,0,0.03,13.7,5.65,0,1.22,0.045,5.04,0.71,0.015,0
export_concat_1_2020_07_17_pSTAT_2_None_96h_2.fcs,Yes,96,None,0.53,0.074,0.13,3.06,39.3,17,0,0.15,27.7,6.44,0.015,0.22,0,4.61,0.64,0.015,0
export_concat_1_2020_07_17_pSTAT_2_None_96h_3.fcs,Yes,96,None,0.37,1.39,0.59,30.9,13,21.4,0,0.03,5.22,7.03,0,17.2,0.015,1.81,0.92,0.015,0.015
export_concat_1_2020_07_17_pSTAT_2_Th1_24h_1.fcs,Yes,24,Th1,0.3,2.49,1.54,25.7,15.3,18.2,0,1.05,9.41,9.33,0.03,15.1,1.13,0.24,0.015,0.045,0.089
export_concat_1_2020_07_17_pSTAT_2_Th1_24h_2.fcs,Yes,24,Th1,0.76,1.87,1.34,15.6,24.3,21.3,0,0.41,20.8,9,0.044,3.59,0.32,0.58,0.029,0.044,0.058
export_concat_1_2020_07_17_pSTAT_2_Th1_24h_3.fcs,Yes,24,Th1,2.91,4.45,1.42,17.9,24.4,23.5,0.059,0.61,14,6.48,0.12,3.1,0.52,0.39,0.03,0.059,0.074
export_concat_1_2020_07_17_pSTAT_2_Th1_30m_NoAct_1.fcs,No,0.5,Th1,26,24.7,28.4,2.55,0.13,0.68,0.029,0,0,1.65,13.9,1.77,0.088,0,0.015,0.029,0.015
export_concat_1_2020_07_17_pSTAT_2_Th1_30m_NoAct_2.fcs,No,0.5,Th1,20.6,20.4,35,1.28,0.045,0.16,0.045,0,0.015,1.91,19.1,1.48,0,0,0.015,0.015,0.015
export_concat_1_2020_07_17_pSTAT_2_Th1_30m_NoAct_3.fcs,No,0.5,Th1,17.8,24.1,35.4,0.99,0,0.1,0.1,0,0,1.29,18.6,1.48,0.015,0,0.059,0.015,0.015
export_concat_1_2020_07_17_pSTAT_2_Th1_30m_1.fcs,Yes,0.5,Th1,20.8,20.6,40,2.92,0.089,0.8,0.015,0,0.015,2.4,9.24,3.04,0.03,0,0.03,0.015,0.015
export_concat_1_2020_07_17_pSTAT_2_Th1_30m_2.fcs,Yes,0.5,Th1,23.1,29.9,23,4.01,0.24,0.99,0.03,0,0,1.53,14.3,2.85,0.015,0,0.03,0,0
