Activation Type,Activation Time,Live Cell Count,Live Cell Frequency,CD4+pSTAT1(S727)+,CD4+pSTAT1(S727)high,CD4+pSTAT1(S727)low,CD4+pSTAT1(Y701)+,CD4+pSTAT2+,CD4+pSTAT3(S727)+,CD4+pSTAT3(S727)high,CD4+pSTAT3(S727)low,CD4+pSTAT3(Y705)+,CD4+pSTAT4+,CD4+pSTAT5+,CD4+pSTAT6+,CD8+pSTAT1(S727)+,CD8+pSTAT1(S727)high,CD8+pSTAT1(S727)low,CD8+pSTAT1(Y701)+,CD8+pSTAT2+,CD8+pSTAT3(S727)+,CD8+pSTAT3(S727)high,CD8+pSTAT3(S727)low,CD8+pSTAT3(Y705)+,CD8+pSTAT4+,CD8+pSTAT5+,CD8+pSTAT6+
Antibodies,0.5h,39939,74.9,81.3,7.78,71.5,0.18,80.5,82.2,12.8,70,1.28,0.083,39.9,0.69,86.9,11.8,72.3,1.35,84.8,86.5,9.88,77.2,2.57,0.79,38.9,1.31
Antibodies,0.5h,40735,77.1,78.9,12.5,63.9,0.17,77.8,79.8,16.1,64.4,1.48,0.12,40.8,0.75,84.1,17.1,64.1,1.37,82.3,83.7,11.6,72.8,2.59,0.88,39.2,1.48
Antibodies,24h,39308,65.7,87.2,43.9,39.4,0.13,86.3,87.7,17,71.7,2.92,0.094,46.7,1.03,90.7,52.6,34.8,1.24,89.2,90.4,12.7,78.5,3.79,0.59,39.6,1.59
Antibodies,24h,39065,67.9,86.5,22.5,60.7,0.11,78.4,86.2,6.51,80.1,1.98,0.077,27.2,0.7,90.5,29.6,57.4,1.5,81.4,89.5,5,84.8,2.61,0.7,20,1.38
Antibodies,24h,31118,67.3,86.4,22.8,60.3,0.21,81.3,86.7,7.28,79.8,2.67,0.091,28.6,0.79,90.5,29.1,58,1.63,85.1,89.5,5.34,84.6,3.14,0.83,21.3,1.69
Antibodies,2h,39747,73.7,83.5,3.33,79,0.14,78.4,83.6,5.73,78.3,0.83,0.055,22.5,0.52,88.1,5.34,81,1.3,81.8,86.9,3.58,83.7,1.68,0.74,19.3,1.09
Antibodies,2h,43883,73.6,83.5,3.45,79,0.11,77.4,83.3,5.56,78.1,0.91,0.062,22.3,0.55,88.4,5.39,81.5,1.57,80.9,86.7,3.59,83.4,2.13,0.85,19.7,1.22
Antibodies,2h,26553,67.4,84.1,1.31,82.4,0.14,79,83.8,3.86,80.2,1.01,0.061,24.6,0.46,88.2,2.15,85.2,1.36,82.1,86.7,2.06,84.9,1.79,0.78,22.3,1.42
Antibodies,48h,28385,66.3,85.5,53,29.6,0.28,85,86.3,18.3,68.9,9.4,0.24,49.1,3.06,90.5,63.2,24.8,1.65,89,90.1,14.8,76.2,9.26,1.14,44,6.18
Antibodies,48h,32981,67.1,88.4,35.7,49.9,0.24,79.2,88.4,8.52,80.4,13.6,0.34,25.9,3.61,91.9,43.6,45.1,1.65,82.4,91.2,6.94,84.6,12.8,1.1,19.3,6.3
Antibodies,48h,29917,73.9,80.6,32.6,45.3,0.33,77,81.6,8.45,73.7,15.8,0.34,26,3.36,86.7,41.5,42.7,1.71,81.7,86.5,6.39,80.5,14.3,1.25,20.3,6.77
Antibodies,72h,24901,58.4,79.1,64.7,12.9,1.49,79.8,80.4,24.3,57,7.64,1.8,54.7,4.32,83.1,71,11,9.55,83,82.8,23.5,60,7.73,9.81,55.1,9.15
Antibodies,72h,29763,62.3,81.2,61.2,18,1.34,79.4,82.3,20.1,63.1,7.56,1.62,43.3,3.11,86,71.2,13.5,8.51,83.7,86,19.3,67.3,7.95,8.48,42.8,7.73
Antibodies,72h,25168,67,79,56.9,20.1,1.25,79.7,80.3,19.4,61.8,7.57,1.61,47,3.38,83.2,66.8,15.2,8.33,83.4,83.5,19,65.4,7.9,8.4,45.7,7.88
Dynabeads (1:1),0.5h,19273,66.1,65.4,0.073,65.4,0.066,69.2,69.8,2.18,67.8,2.14,1.46,25.4,3.07,71.9,0.16,71.7,1.64,73.8,73.6,1.45,72.2,5.74,5.18,26.6,8.2
Dynabeads (1:1),0.5h,18282,61.4,65.4,0.19,65.2,0.15,69.8,69,3.08,66.2,2.45,1.58,29.6,3.27,71.8,0.41,71.4,2.07,72.8,72.1,2.75,69.5,6.22,5.24,29.9,8.08
Dynabeads (1:1),0.5h,15730,62.5,61.5,0.12,61.4,0.17,64.8,64.9,2.39,62.8,1.94,1.49,21.4,2.9,69,0.14,68.8,2.31,70.4,70.2,2.2,68.3,5.2,4.89,22.2,7.49
Dynabeads (1:1),24h,15151,56,50.4,19.6,29.9,0.48,52.2,54,13.4,41.3,34.2,2.64,34.7,5.24,66.4,31.7,33.3,2.55,65.8,66.4,20.9,46.3,46.7,11.8,45.2,16.7
Dynabeads (1:1),24h,17027,58.5,58.6,29.3,28.3,0.58,60.2,61.4,19.7,42.5,45.4,3.06,42.7,6.62,72.7,46.2,25.3,2.94,71.9,72.9,29.7,44.1,60.4,13.6,53.2,18.5
Dynabeads (1:1),24h,17446,61.6,55.7,26.4,28.3,0.53,56.5,58.8,17,42.5,42.9,3.06,38.8,6.03,71.1,45.6,24,2.76,69.8,71.9,27.8,45,60.5,14.3,50.9,19.8
Dynabeads (1:1),2h,12445,51.4,45.4,0.33,45,0.24,50.2,49.5,4.57,45.1,3.02,1.42,30,2.43,55.4,0.78,54.5,1.89,56.8,56.4,6.23,50.5,8.62,6.33,34.2,9.86
