Sample:,Stimulation,Live Cell Count,Live Cell Frequency,CD4+pSTAT1(S727)+,CD4+pSTAT1(S727)high,CD4+pSTAT1(S727)low,CD4+pSTAT1(Y701)+,CD4+pSTAT2+,CD4+pSTAT3(S727)+,CD4+pSTAT3(S727)high,CD4+pSTAT3(S727)low,CD4+pSTAT3(Y705)+,CD4+pSTAT4+,CD4+pSTAT5+,CD4+pSTAT6+,CD8+pSTAT1(S727)+,CD+pSTAT1(S727)high,CD8+pSTAT1(S727)low,CD8+pSTAT1(Y701)+,CD8+pSTAT2+,CD8+pSTAT3(S727)+,CD8+pSTAT3(S727)high,CD8+pSTAT3(S727)low,CD8+pSTAT3(Y705)+,CD8+pSTAT4+,CD8+pSTAT5+,CD8+pSTAT6+
D8.fcs,aPD1,65361,93.1,82.3,2.15,79.9,0.065,8.37,83.3,0.21,82.7,0.048,0.016,0.89,0.12,84.7,4.13,80.1,0.64,10.3,83.9,0.1,83.3,0.17,0.47,0.67,0.34
G1.fcs,aPD1,61601,94.1,62.6,0.069,64.4,0.083,10.4,84.3,0.071,83.8,3.80E-02,0.013,1.16,0.1,68.3,0.14,69.9,0.79,11.9,83.1,0.041,82.2,0.1,0.41,1.13,0.31
H9.fcs,aPD1,49575,94.9,78.9,1.23,78,0.092,12.1,83.8,0.021,83.1,0.047,0.024,1.43,0.15,81.7,2.57,79.1,0.83,13.1,82.5,0.012,81.5,0.15,0.64,1.17,0.47
F10.fcs,CTLA4,56533,94.8,88.2,24.8,59.3,0.061,9.8,88.4,0.12,88,0.039,0.016,0.96,0.14,90,31.4,55,0.93,11.4,88.7,0.011,88.5,0.086,0.66,0.62,0.39
D7.fcs,CTLA4,58624,93,84.6,4.62,79,0.068,20.6,85.4,0.69,84.5,0.077,0.026,2.27,0.14,86.3,9.67,75.1,0.76,22.7,86.6,0.34,85.9,0.12,0.47,1.95,0.42
G3.fcs,CTLA4,67065,94.9,70.1,0.084,71.5,0.069,9.21,83,0.065,82.2,0.042,0.019,1.12,0.14,75.1,0.15,76.4,0.56,10.8,82.8,0.036,81.8,0.064,0.39,0.75,0.39
E6.fcs,GM-CSF,61125,94.4,79.9,0.56,80,0.053,9.08,83.9,0.16,83.2,0.036,0.021,0.9,0.12,83.9,1.37,82.6,0.36,10.3,84.4,0.03,83.7,0.11,0.26,0.76,0.28
H11.fcs,GM-CSF,56575,95.3,88.2,24.4,60.4,0.078,15.1,88.4,0.091,88.1,0.11,0.041,1.75,0.23,89.9,28.8,58.3,0.73,17,89.1,0.011,88.6,0.19,0.62,1.51,0.58
B11.fcs,GM-CSF,60002,94.3,87.1,17.4,67,0.081,10.2,86.8,0.53,86,0.092,0.041,1.46,0.2,88.6,23,63.2,0.79,12.4,87.5,0.23,86.9,0.19,0.53,1.26,0.48
C2.fcs,IFNa,80069,94.1,85.6,46.2,36.4,0.58,35.5,86.1,2.92,82.7,29.1,11.4,10.4,0.5,86.4,51.5,32.1,1.58,39.8,86.8,1.55,84.8,27.1,32.1,6.51,0.96
A8.fcs,IFNa,73492,93.5,85.3,44.3,38.3,0.67,23.8,85.4,1.99,83,25.1,10.6,5.61,0.47,86.9,46.1,38.4,1.78,27.6,86.2,0.89,85,23.1,29.4,3.3,1.09
F6.fcs,IFNa,60387,94.7,83.2,3.89,79.1,1.09,17.6,84.9,0.22,84.1,18.5,8.51,5.6,0.25,84.8,5.27,79.1,2.21,18.5,85.2,0.13,84.4,16.5,24.4,2.69,0.41
B3.fcs,IFNb,82633,94,85.4,71.4,12.5,1.22,30,85.9,10.4,74.4,68.8,23.4,31.9,1.5,86.9,72.3,13.5,2.46,33.7,87.1,7.97,78.3,69.2,57.3,21,2.59
